date,month,source,peak_mm,peak_in,active_cells,tag_source,path
1998-08-17,8,MYRORSS,69.14700317382812,2.722322959599533,20039,raster,data/historical/mesh_0.05deg/1998/mesh_19980817.tif
1998-08-18,8,MYRORSS,71.9073715209961,2.830998878779374,16096,raster,data/historical/mesh_0.05deg/1998/mesh_19980818.tif
1998-08-19,8,MYRORSS,90.91753387451172,3.579430467500462,14948,raster,data/historical/mesh_0.05deg/1998/mesh_19980819.tif
1998-08-20,8,MYRORSS,70.01969146728516,2.7566807664285498,23961,raster,data/historical/mesh_0.05deg/1998/mesh_19980820.tif
1998-08-21,8,MYRORSS,80.2231216430664,3.1583906158687562,20930,raster,data/historical/mesh_0.05deg/1998/mesh_19980821.tif
1998-08-22,8,MYRORSS,68.43087768554688,2.694129042738066,13050,raster,data/historical/mesh_0.05deg/1998/mesh_19980822.tif
1998-08-23,8,MYRORSS,74.74317169189453,2.9426445547989974,14781,raster,data/historical/mesh_0.05deg/1998/mesh_19980823.tif
1998-08-24,8,MYRORSS,51.12797927856445,2.012912570022223,11873,raster,data/historical/mesh_0.05deg/1998/mesh_19980824.tif
1998-08-25,8,MYRORSS,67.15907287597656,2.6440579872431718,16881,raster,data/historical/mesh_0.05deg/1998/mesh_19980825.tif
1998-08-26,8,MYRORSS,85.83267974853516,3.3792393601785498,17340,raster,data/historical/mesh_0.05deg/1998/mesh_19980826.tif
1998-08-27,8,MYRORSS,99.17203521728516,3.9044108353261873,11595,raster,data/historical/mesh_0.05deg/1998/mesh_19980827.tif
1998-08-28,8,MYRORSS,50.774593353271484,1.998999738317775,11115,raster,data/historical/mesh_0.05deg/1998/mesh_19980828.tif
1998-08-29,8,MYRORSS,49.650535583496094,1.9547454954132322,5942,raster,data/historical/mesh_0.05deg/1998/mesh_19980829.tif
1998-08-30,8,MYRORSS,84.93587493896484,3.3439320842112146,12758,raster,data/historical/mesh_0.05deg/1998/mesh_19980830.tif
1998-08-31,8,MYRORSS,52.58331298828125,2.0702091727669782,11544,raster,data/historical/mesh_0.05deg/1998/mesh_19980831.tif
1998-09-01,9,MYRORSS,44.55718994140625,1.7542200764333171,3580,raster,data/historical/mesh_0.05deg/1998/mesh_19980901.tif
1998-09-02,9,MYRORSS,125.39630126953125,4.936862254705955,3838,raster,data/historical/mesh_0.05deg/1998/mesh_19980902.tif
1998-09-03,9,MYRORSS,49.97203063964844,1.9674027810885213,2472,raster,data/historical/mesh_0.05deg/1998/mesh_19980903.tif
1998-09-04,9,MYRORSS,53.83108901977539,2.119334213376984,2743,raster,data/historical/mesh_0.05deg/1998/mesh_19980904.tif
1998-09-05,9,MYRORSS,59.2374267578125,2.33218215581939,7996,raster,data/historical/mesh_0.05deg/1998/mesh_19980905.tif
1998-09-06,9,MYRORSS,60.74772644042969,2.3916427732452634,7349,raster,data/historical/mesh_0.05deg/1998/mesh_19980906.tif
1998-09-07,9,MYRORSS,33.979454040527344,1.3377737811231238,7455,raster,data/historical/mesh_0.05deg/1998/mesh_19980907.tif
1998-09-08,9,MYRORSS,50.628910064697266,1.993264175775483,10973,raster,data/historical/mesh_0.05deg/1998/mesh_19980908.tif
1998-09-09,9,MYRORSS,58.694705963134766,2.3108151953990066,14823,raster,data/historical/mesh_0.05deg/1998/mesh_19980909.tif
1998-09-10,9,MYRORSS,51.86580276489258,2.0419607387752983,10481,raster,data/historical/mesh_0.05deg/1998/mesh_19980910.tif
1998-09-11,9,MYRORSS,130.64891052246094,5.143657894585076,8934,raster,data/historical/mesh_0.05deg/1998/mesh_19980911.tif
1998-09-12,9,MYRORSS,62.372344970703125,2.4556041327048477,10143,raster,data/historical/mesh_0.05deg/1998/mesh_19980912.tif
1998-09-13,9,MYRORSS,45.609580993652344,1.7956527950256829,7779,raster,data/historical/mesh_0.05deg/1998/mesh_19980913.tif
